map_name;map_id;tier;rating
jump_halcyon_b3;555;1;1
jump_half;69;1;4
jump_hana;454;3;1
jump_hanami_final_v2;351;4;4
jump_hangar_18;172;3;2
jump_happygonk_b7;471;7;3
jump_hardware;421;4;1
jump_haze;587;1;1
jump_heaven_a3;71;3;4
jump_heavy_b1;72;2;2
jump_heck;514;5;1
jump_hexahedron;174;1;4
jump_hobo;73;2;1
jump_hobo2_fixed;74;2;1
jump_hoi;414;2;4
jump_home_v2;216;1;4
jump_homie_beta;228;5;2
jump_hopstep2_rc7;732;2;4
jump_hopstep_a3;75;1;4
jump_horus_b5_tpn;444;7;2
jump_hotcoffee_b1;76;2;4
jump_housebeta;77;2;2
jump_how;280;6;2
jump_huh_b6;302;3;3
jump_hulk_a4;781;3;1
jump_hydrogen_rc1_bmv;402;3;1
jump_iblis;761;4;1
jump_ice_v4;78;2;1
jump_ideation_b5;722;1;1
jump_if_rc2;601;6;2
jump_illuminum_tmps;717;2;2
jump_illusion_final;295;2;3
jump_impact;79;1;1
jump_impulse_a2;434;4;1
jump_infernum_rc2;747;1;4
jump_inimica_rc2;748;2;4
jump_insomnia_a8;743;7;3
jump_internal_b4;212;2;4
jump_ionizer_tpn4;756;3;4
jump_ipos;680;4;3
jump_isak_b4;211;4;2
jump_iser_a3;308;1;4
jump_it_final;176;3;4
jump_jabroni;507;8;3
jump_jakey_a2;183;1;4
jump_jasmine;516;5;1
jump_joa_v2;80;1;4
jump_joke_b4;696;1;4
jump_jorgelayja_redo;549;4;1
jump_jorgelayja_tmps;316;3;3
jump_jormp;468;2;4
jump_junk_solly_b1;81;2;4
jump_jurf2_a1;267;2;4
jump_jurf_a2;82;2;4
jump_justroll_b1;697;4;2
jump_jynkky_final1;670;2;4
jump_kael_final4;599;3;4
jump_karb_b3;83;3;1
jump_karelia_b1;284;2;1
jump_karlson_v4;663;1;3
jump_keep_final;580;1;4
jump_kek2_rc2;505;2;4
jump_kek_final3;443;1;4
jump_keratotomy_b8;333;2;3
jump_khoa;84;2;1
jump_kilo;85;2;4
jump_kin;533;4;4
jump_kinetics_c1;261;2;4
jump_kjr_a16;770;2;1
jump_klanana;86;2;4
jump_knight_final;319;2;4
jump_koi;87;3;1
jump_kola;566;4;1
jump_koro_b2;463;3;4
jump_kpop_a3;240;2;4
jump_krakatoa_final;388;1;4
jump_kumo;534;3;3
jump_kuna;484;2;4
jump_kusok;253;3;4
jump_laevateinn_final;753;3;4
jump_lafing;596;3;4
jump_lamia;705;5;2
jump_lanc_v3;88;3;1
jump_lantern_tpn;542;3;2
jump_lathy_final;206;3;4
jump_legion_beta3;89;3;4
jump_leicht_redo;550;1;4
jump_lilith;745;5;1
jump_linear_final_fix;188;1;4
jump_lion_a6;194;3;4
jump_lite_a0;91;1;4
jump_lithium_fix2_bmv;458;1;1
jump_littleman_v4;92;3;4
jump_lobsterfight;666;3;3
jump_lolparty;192;2;4
jump_lombardi;591;1;4
jump_lost_a6;455;2;1
jump_lotus_fix;479;2;4
jump_luminous_rc5;558;3;2
jump_lush_f;786;2;4
jump_m0nkey_a5;315;6;1
jump_m0rg_a2;418;4;2
jump_mad_rc3;283;5;2
jump_majoras_a3;93;3;4
jump_manifestation_fix;527;2;4
jump_manitou;422;1;3
jump_marigold;564;2;4
jump_mario_beta1_zip;225;2;4
jump_maso;432;3;4
jump_matty_b7;784;2;1
jump_mazzo;684;1;4
jump_meora_rc6;569;6;2
jump_mhx_b1;682;2;4
jump_minecraftia_a2_t;602;2;4
jump_miner;585;2;1
jump_mirage;301;1;4
jump_mire;510;2;1
jump_mireal2_final;323;6;2
jump_mireal3_final;398;7;2
jump_mireal_tpn;305;6;1
jump_mirrorsedge_rc2;94;2;4
jump_mohaxish_rc2;349;4;1
jump_mohr;307;5;1
jump_moist_v2_fix;404;5;2
jump_momentum;95;2;2
jump_moo;520;1;4
jump_moria_b6;525;2;2
jump_mourn_a3;626;2;4
jump_mouser;96;2;3
jump_mowi_rc2;556;1;4
jump_muffin_b4;97;2;1
jump_murus_b3;660;5;3
jump_musparium_rc3;594;3;4
jump_mutegod;718;4;3
jump_natural_b2;98;3;4
jump_naught_v3;683;5;3
jump_nbn_b4b_redo_a1;99;4;1
jump_nebuchadnezzar_final;461;1;4
jump_nefarious_final;691;3;4
jump_negative_b5;289;3;4
jump_nepal_rc4;467;1;4
jump_neptune_rc1;375;5;1
jump_nesmysl_final;771;2;4
jump_network_b1;100;3;3
jump_nevar_a1;523;1;4
jump_nights;345;3;4
jump_nincompoop_final;501;2;4
jump_nine_final;640;4;1
jump_ninjacookie_final;426;2;4
jump_nmotion2;311;2;4
jump_nmotion_v8;101;1;4
jump_noob;103;2;1
jump_noob2_ab;102;3;2
jump_noskillrequired_b3;436;2;4
jump_nova_a8;662;1;1
jump_nuttwo_final;433;1;4
jump_nysel_final2;638;2;4
jump_nyx;782;2;4
jump_oats_b3;250;2;4
jump_obelisk_rc1_zip;459;2;4
jump_observatory_fix4;740;2;4
jump_oddie_a4;646;2;4
jump_odd_v2;773;4;2
jump_ofcourse_redo_final;330;4;2
jump_ofc_v2;269;4;2
jump_ofthehats_zip;410;3;4
jump_ohjeez_v2;657;5;3
jump_omega;321;2;4
jump_omega2_final;407;3;4
jump_omega3_jam_tf2;551;2;4
jump_omega_redo_v2;685;2;4
jump_onion_v2;181;3;3
jump_onit_b4;363;2;4
jump_ontra;104;2;4
jump_orange_v2;105;1;2
jump_orbital_rc1_zip;106;1;1
jump_oreotachi_b3;477;3;2
jump_oreotopolis_c7;489;4;1
jump_orestes;559;3;4
jump_oretachi_rc5;290;2;4
jump_ouryoku;446;3;1
jump_outmywindow_finallly;695;2;4
jump_over_beta;107;5;1
jump_overhead;328;5;2
jump_overhead2;562;5;3
jump_owakare;506;2;4
jump_ozone;692;2;4
jump_p;237;4;2
jump_pagoda;108;1;4
jump_panama;276;2;4
jump_pandemonium;500;2;4
jump_pandemonium_v4;541;2;4
jump_pants_b2;281;3;4
jump_passion_fix2;706;3;4
jump_pastel_b2;486;1;3
jump_pathos;382;4;1
jump_pdidey;277;3;4
jump_pharaoh_a6;195;2;4
jump_phase_b4;366;4;4
jump_phobos_zip;327;2;4
jump_pickles_v2;383;2;4
jump_pine_b1;445;2;1
jump_plaza;540;1;4
jump_plunder_final;668;2;4
jump_pmuj_rc2;518;2;4
jump_polar;437;2;2
jump_pow;733;2;4
jump_power_rc3;645;2;4
jump_primal_rc7;694;3;3
jump_primary_rc1;768;2;1
jump_prism_final;288;1;4
jump_propel_fixed_v3;109;2;2
jump_prostate_b4;470;3;2
jump_protactinium;531;7;2
jump_proto_a2;200;1;4
jump_psionic;457;5;2
jump_psycho_zip;535;8;2
jump_pump;442;1;4
jump_puni_a4a;110;2;1
jump_pure_b2;111;3;1
jump_purecio_b2;112;1;2
jump_qodu_rc1;502;2;4
jump_quake_beta4;113;2;4
jump_quattro_rc1;356;1;4
jump_quba;114;3;4
jump_quick_b2;198;2;4
jump_quickers_b3;245;2;2
jump_rabbit_final3;578;3;4
jump_radiix;665;3;4
jump_raina;242;3;1
jump_rainbow;306;2;4
jump_rainbowroad_tpn;785;1;4
jump_rapture;218;2;4
jump_rat_rc4;598;5;1
jump_raven_b1;522;2;4
jump_ravioliix_tpn;754;2;4
jump_rayner_a1_fixed;115;2;4
jump_rebound_v3;116;2;4
jump_rebus;448;3;4
jump_recall;406;2;4
jump_redplanet_v2;117;2;3
jump_rehorus_final2;473;5;1
jump_relicanth_final;777;4;1
jump_relicta_rc2;708;1;4
jump_remember_beta;118;3;2
jump_renard;332;1;4
jump_repente2_fix;737;2;4
jump_repente_b4;679;2;4
jump_requiem_a6;219;1;4
jump_resi_b2;259;2;3
jump_revenant;543;3;1
jump_revenge;119;3;1
jump_reverentia_rc2;726;2;4
jump_rewind;304;1;1
jump_rewind2;509;3;2
jump_rex_final;736;2;4
jump_rickoconnell;623;3;4
jump_ring2;121;3;1
jump_ring_final;120;2;1
jump_rnc_a1;123;2;4
jump_rook_beta;124;2;4
jump_rope_final;229;2;4
jump_ruelee_a6;593;2;4
jump_rush;125;1;1
jump_rush_h;371;3;2
jump_rust_rc3;757;2;1
jump_rutabaga_rc2;538;4;1
jump_rvr_b1;126;4;1
jump_sampi_rc5;654;3;4
jump_samurai_b3;238;3;2
jump_sanctuary_final;499;3;4
jump_sauciix_v4;634;1;4
jump_schadenfreude_rc1;336;5;2
jump_scorpion_b1;127;5;1
jump_sdm_final_zip;256;2;4
jump_segment_rc3;552;3;2
jump_serenity_rc3;462;1;4
jump_serica_rc4;783;2;4
jump_serpentine_final;204;2;4
jump_seven;129;1;1
jump_sexydev_v3;130;1;4
jump_sfw_final_zip;355;3;4
jump_shapes_rc2;738;2;1
jump_sharp_b3;131;2;1
jump_sheer_v4;698;3;3
jump_shelter_b1;369;1;2
jump_shimano_a3;235;3;4
jump_shiver;132;4;2
jump_shunix_v2;191;2;4
jump_sick;314;2;2
jump_signal_final;485;2;1
jump_silly_a8;133;2;1
jump_silly_fin;278;2;2
jump_simplified_rc1;519;3;4
jump_simply_v2;265;2;4
jump_sinister_final_ver2;258;3;4
jump_sink_b4;475;2;4
jump_sira2;425;3;1
jump_sira_alpha;239;3;1
jump_sitood_zip;187;2;4
jump_six_a6;669;7;2
jump_sketchy2_rc1_zip;257;1;3
jump_sketchy_final;178;2;1
jump_skip_b3;134;1;4
jump_skylight;135;3;4
jump_skyscraper_v2;675;1;4
jump_sleepy_redo;364;1;4
jump_smarticlee;384;1;4
jump_smellmybum;274;3;4
jump_snowshot_v3;589;4;3
jump_soar_a4;136;3;4
jump_sobel;466;2;3
jump_software;491;4;1
jump_sohr_a5;480;3;4
jump_soma_a7;361;3;4
jump_something_rc1_fix_v2;344;2;4
jump_sonni_a6;704;4;2
jump_soquete;720;2;4
jump_sor_a4;217;2;4
jump_sore_a4;205;3;2
jump_sorh_a1;512;2;4
jump_spaghetti_v2;236;2;4
jump_spark_rc2;272;2;3
jump_spectre;498;3;4
jump_speed;137;2;1
jump_speed2;138;2;1
jump_squared_b2;139;4;4
jump_starkie_tpn;441;6;2
jump_start_b4;249;3;2
jump_start_h;374;5;3
jump_starve;469;2;2
jump_starwars_rc2;673;2;3
jump_steak_a2;233;2;1
jump_steel_b1;140;1;4
jump_stella_v2;447;2;4
jump_stleganickling_v1;482;1;4
jump_storm_final;362;5;2
jump_straight;385;2;4
jump_stress_final;320;3;1
jump_stretch_final;177;3;4
jump_strikapult_v11;476;5;4
jump_strike_b2_tpn;352;3;4
jump_stripe_b5;241;2;4
jump_style;141;3;3
jump_sucks;667;5;3
jump_sudaca;744;1;4
jump_summer_rc1;282;1;4
jump_super_redo;553;5;2
jump_supersereious_rc1;390;2;1
jump_super_v5;303;5;3
jump_surfzzz_v1;409;1;3
jump_sven_b1;416;2;4
jump_sweetnawful_rc2;329;1;4
jump_swizzle_rc5;635;5;1
jump_sylvan;560;4;1
jump_synapse_rc3_zip;324;4;1
jump_sync;142;4;4
jump_synth_a2;143;2;2
jump_tapdance_fix3;521;2;4
jump_tawatyr;513;1;3
jump_taylor_swift;144;2;4
jump_temple_final;515;2;4
jump_tempus_b5;772;2;4
jump_tensor_a2_zip;438;4;1
jump_termywermy_beta4;145;3;1
jump_tesseract_fix_v2;503;3;3
jump_testalla_final;633;4;2
jump_tf;266;3;4
jump_tf2rj;395;2;4
jump_the_b7;677;10;3
jump_tholos;146;2;3
jump_thorn_b5;526;5;3
jump_timtam_rc2;714;5;1
jump_tissue;3;2;1
jump_titan;189;3;2
jump_tombrady_v10;622;3;4
jump_toot_rc4;487;1;4
jump_torii_v3;147;2;4
jump_toxic_v6;148;1;4
jump_tpn_rc3;149;3;4
jump_treasure_fix;544;3;1
jump_triangle;561;3;1
jump_triplepre_b8;451;3;4
jump_tsao_final;150;3;1
jump_tshirt;577;1;4
jump_turnip_v2;151;3;3
jump_turnuround_fix;681;3;3
jump_tutankhamun;430;2;4
jump_twelve_rc1;243;3;2
jump_twist_beta;152;1;3
jump_twix_b4;392;2;4
jump_tx_final;186;2;2
jump_typh_a3;201;2;4
jump_ugly_b4;154;3;1
jump_ultimatebuttfucker_a2;268;3;2
jump_ultra_alpha;155;3;4
jump_umon_rc2;716;2;4
jump_unclesam;687;2;2
jump_underground_final;156;2;4
jump_undergrowth_zip;399;1;4
jump_underworld_final;190;3;4
jump_underworld_v2_zip;260;2;4
jump_up;157;3;1
jump_uranium_v5;719;7;3
jump_urbex_rc3;776;2;4
jump_urgent_final;252;2;4
jump_ursprung_final;707;2;4
jump_valley_final;312;3;4
jump_vampires_v4;450;3;4
jump_vanilla;532;2;4
jump_vanished;423;5;1
jump_vape_rc3;417;1;4
jump_vendetta;158;3;4
jump_vertigo;180;4;2
jump_vertuosic_rc6;595;7;3
jump_vespertine_rc3;710;3;4
jump_vex_final;255;2;4
jump_vidarydkling_rc5;727;3;4
jump_virtuoso_tpn;565;8;2
jump_void_b1;159;1;4
jump_volcanic_zip;160;3;1
jump_vulc_a2;232;3;4
jump_wagyu_a5;758;1;4
jump_wallclimb_v1alpha;161;2;3
jump_wallfox_rc1;380;4;3
jump_waltz_rc6;641;2;4
jump_wamps_tmps_rc1;778;2;4
jump_watermelon_rc3;690;5;2
jump_waves_final;162;2;4
jump_weekly_rc2;394;3;1
jump_weird;688;2;4
jump_what;163;5;1
jump_when_b2_fix;378;8;3
jump_whitescreen_b1;749;1;3
jump_who;164;2;4
jump_why_rc3;285;2;3
jump_wolf;165;3;4
jump_x;185;2;3
jump_xhappy;401;4;4
jump_xtra_swing_b1;674;1;4
jump_yes_b4;655;3;1
jump_yggdrasil;554;3;4
jump_yona_b2;372;1;4
jump_yucca;166;2;3
jump_yump_final1;413;1;4
jump_ywumpy_final2;492;6;2
jump_zawty_rc1;572;2;4
jump_zekro_v4;348;5;3
jump_zero;167;2;1
jump_zero_v2;358;3;1
jump_zetsubou_v3;347;3;4
jump_ziggurat_b3_zip;309;3;3
jump_zilent;588;6;1
jump_zirco_b1;693;2;1
jump_zone_rc2;590;2;4
jump_zuza_rc2;661;1;2
jump_zyma_final5;625;2;4
rj_rckteer;168;1;4
rj_rckteer_adv_v2;169;2;4
rj_training_v3;122;1;4
sj_naissancee_tf2;636;4;2
sj_providence_tf;630;3;1
